created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-04T20:53:11Z,1621975175066427400,1621975175066427394,"GANAR O GANAR. 

NOS JUGAMOS MUCHO.

KOI vs VITALITY.
@KOI 
@KOIxENG 

RT.
https://t.co/cL2WMcjsI6 https://t.co/1DjPUlzkxN","GANAR O GANAR. 

NOS JUGAMOS MUCHO.

KOI vs VITALITY.
@KOI 
@KOIxENG 

RT.
https://t.co/cL2WMcjsI6 https://t.co/1DjPUlzkxN",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2707,3294,FALSE,NA,FALSE,NA,es,FALSE,NA,98,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T23:55:12Z,1621658592259571700,1621658592259571712,"Velada del año III cerrada al 99,9%. 

Si todo va bien todo se anuncia este mes. 

Esto va a ser una barbaridad.","Velada del año III cerrada al 99,9%. 

Si todo va bien todo se anuncia este mes. 

Esto va a ser una barbaridad.",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,5046,143595,FALSE,NA,FALSE,NA,es,NA,NA,112,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T19:03:49Z,1621585267340492800,1621585267340492800,@CarryEnfurecido Falta uno por llegar.,@CarryEnfurecido Falta uno por llegar.,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621585206003093500,1621585206003093507,913727478090346500,913727478090346496,CarryEnfurecido,,,,NA,FALSE,26,5423,FALSE,NA,FALSE,NA,es,NA,NA,38,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T19:02:49Z,1621585012788265e3,1621585012788264960,https://t.co/4rbzcDjDLV,https://t.co/4rbzcDjDLV,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,6610,246195,FALSE,NA,FALSE,NA,zxx,FALSE,NA,0,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T16:10:00Z,1621541522146574300,1621541522146574341,"PREVIA KINGS LEAGUE

PORCINOS vs JIJANTES el domingo

VENTE
https://t.co/cL2WMcjsI6","PREVIA KINGS LEAGUE

PORCINOS vs JIJANTES el domingo

VENTE
https://t.co/cL2WMcjsI6",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,95,3413,FALSE,NA,FALSE,NA,es,FALSE,NA,83,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T14:58:03Z,1621523417018273800,1621523417018273792,@auronplay @DonSoriano_ le hemos dado contenido para los próximos 6 meses me arrepiento muchísimo de esta mierda,@auronplay @DonSoriano_ le hemos dado contenido para los próximos 6 meses me arrepiento muchísimo de esta mierda,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621520949190484e3,1621520949190483968,1501434991,1501434991,auronplay,,,,NA,FALSE,133,15823,FALSE,NA,FALSE,NA,es,NA,NA,112,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T14:40:58Z,1621519116044759e3,1621519116044759040,@DonSoriano_ Vale que Auron te ha seguido pero lo de tatuarse sus Esland es pasarse eh,@DonSoriano_ Vale que Auron te ha seguido pero lo de tatuarse sus Esland es pasarse eh,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621514915784839200,1621514915784839170,1323672049743761400,1323672049743761409,DonSoriano_,,,,NA,FALSE,622,49549,FALSE,NA,FALSE,NA,es,NA,NA,86,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T21:44:28Z,1621263306395623400,1621263306395623424,https://t.co/n8NKI1GJk5,https://t.co/n8NKI1GJk5,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1648,109364,FALSE,NA,FALSE,NA,zxx,FALSE,NA,0,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T20:10:34Z,1621239674218991600,1621239674218991616,@KOI DON JOAO MIGUEL NOVAIS BIGAS PARERA,@KOI DON JOAO MIGUEL NOVAIS BIGAS PARERA,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621235615709659100,1621235615709659138,145839961222665e4,1458399612226650114,KOI,,,,NA,FALSE,45,3267,FALSE,NA,FALSE,NA,pt,NA,NA,40,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T20:04:35Z,1621238170674249700,1621238170674249731,@seazlol Poned el tweet en el salón. Hay que leerlo todos los días.,@seazlol Poned el tweet en el salón. Hay que leerlo todos los días.,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621237360099737600,1621237360099737602,701814700925960200,701814700925960192,seazlol,,,,NA,FALSE,42,3776,FALSE,NA,FALSE,NA,es,NA,NA,67,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
